timestamp,machine_id,machine_type,machine_age_years,operating_hours,load_pct,temperature_c,vibration_mm_s,pressure_bar,rpm,failure_flag,failure_type,downtime_hours,downtime_reason,production_units,defect_units,good_units,energy_kwh,maintenance_hours,maintenance_cost_inr,setup_hours,revenue_inr,downtime_loss_inr,scrap_cost_inr,total_loss_inr,availability_pct,performance_pct,quality_pct,oee_pct
2025-01-01 09:00:00,M-006,Injection Molding,4,16.84,66.32,83.38,1.536,126.67,1851,1,Hydraulic,3.85,Hydraulic Failure,708,17,691,284.79,4.79,8175.09,0.0,65614.93,21956.59,888.25,31019.93,77.13,70.03,97.6,52.72
2025-01-01 09:00:00,M-009,Grinding,15,17.05,92.25,108.06,3.023,126.58,1787,1,Mechanical,16.84,Mechanical Failure,9,0,9,,6.76,12967.76,0.0,1915.13,159094.97,0.0,172062.72,1.27,1.19,100.0,0.02
2025-01-01 09:00:00,M-028,CNC Mill,7,17.25,68.58,93.74,2.133,111.66,1344,1,Mechanical,5.72,Mechanical Failure,572,26,546,281.12,4.71,8867.93,0.0,100975.79,55016.98,2645.5,66530.41,66.84,63.76,95.45,40.68
2025-01-01 10:00:00,M-017,Grinding,8,17.52,67.35,88.53,2.154,110.75,1775,1,Tool Wear,24.48,Tool Wear Failure,0,0,0,297.45,9.36,13080.95,0.0,0.0,231318.61,0.0,244399.56,0.0,0.0,0.0,0.0
2025-01-01 11:00:00,M-014,CNC Mill,3,17.24,65.2,86.51,2.119,123.34,1868,1,Overheating,9.24,Overheating Failure,337,20,317,281.29,3.34,5898.79,0.0,58717.45,88846.23,2035.0,96780.01,46.43,37.63,94.07,16.44
2025-01-01 11:00:00,M-007,CNC Lathe,8,12.58,65.79,87.97,1.975,116.25,1702,0,No Failure,0.09,No Downtime,524,16,508,214.69,0.0,0.0,0.0,93952.97,912.65,1628.0,2540.65,99.25,80.05,96.95,77.02
2025-01-01 11:00:00,M-022,CNC Lathe,13,16.39,94.28,102.59,2.939,119.07,1448,1,Mechanical,2.8,Mechanical Failure,657,34,623,328.51,6.36,13468.8,0.0,115267.0,26946.0,3459.5,43874.3,82.91,77.09,94.83,60.61
2025-01-01 12:00:00,M-019,CNC Mill,8,18.06,78.0,93.73,2.501,111.5,2029,0,No Failure,0.13,No Downtime,855,21,834,318.42,0.0,0.0,0.0,154271.08,1212.07,2136.75,3348.82,99.3,91.03,97.54,88.18
2025-01-01 12:00:00,M-001,CNC Mill,10,17.39,73.05,87.26,2.52,112.74,1553,0,No Failure,0.52,No Downtime,803,25,778,308.97,0.0,0.0,0.0,143939.23,5010.65,2543.75,7554.4,97.0,88.81,96.89,83.47
2025-01-01 13:00:00,M-029,Grinding,8,20.82,76.41,88.81,2.526,98.35,2065,0,No Failure,0.76,Planned Maintenance,792,29,763,352.3,4.4,4973.51,0.0,160254.33,7167.61,3349.5,15490.62,96.36,84.57,96.34,78.5
2025-01-01 16:00:00,M-020,CNC Lathe,11,19.48,80.54,92.49,2.747,123.2,2042,1,Hydraulic,2.78,Hydraulic Failure,819,36,783,361.06,5.1,10749.48,0.0,144919.84,26773.5,3663.0,41185.98,85.71,80.89,95.61,66.28
2025-01-01 16:00:00,M-030,CNC Mill,10,13.52,66.54,88.55,2.215,107.31,1163,1,Mechanical,2.09,Mechanical Failure,624,23,601,226.85,11.37,18084.49,0.0,111185.62,20103.2,2340.25,40527.94,84.54,88.77,96.31,72.28
2025-01-01 18:00:00,M-025,CNC Lathe,7,16.33,56.05,79.88,2.07,114.72,2051,0,No Failure,0.15,No Downtime,884,10,874,244.61,0.0,0.0,0.0,161643.88,1419.73,1017.5,2437.23,99.1,104.05,98.87,100.0
2025-01-01 18:00:00,M-015,Injection Molding,6,15.75,93.74,92.44,2.786,118.29,1741,1,Hydraulic,1.57,Hydraulic Failure,875,27,848,299.85,3.53,6106.99,0.0,80531.96,8949.44,1410.75,16467.17,90.03,92.53,96.91,80.74
2025-01-01 18:00:00,M-018,Grinding,15,16.98,93.33,94.48,3.566,121.37,1303,1,Tool Wear,2.15,Tool Wear Failure,658,31,627,336.75,6.74,14394.67,0.0,131662.68,20334.03,3580.5,38309.2,87.33,86.1,95.29,71.65
2025-01-01 21:00:00,M-003,CNC Lathe,15,16.99,84.79,92.14,2.558,118.12,1617,1,Mechanical,6.94,Mechanical Failure,471,22,449,330.66,2.25,6812.67,0.0,82999.52,66739.86,2238.5,75791.02,59.16,53.28,95.33,30.05
2025-01-01 21:00:00,M-018,CNC Mill,15,19.45,92.37,96.61,3.221,124.32,2093,1,Electrical,10.28,Electrical Failure,460,14,446,375.57,5.62,10610.07,0.0,82541.29,98854.03,1424.5,110888.6,47.16,45.51,96.96,20.81
2025-01-01 22:00:00,M-030,CNC Lathe,10,17.71,100.0,96.62,3.158,109.46,1801,0,No Failure,1.74,Material Shortage,752,38,714,360.19,0.0,0.0,0.0,132151.24,16717.3,3866.5,20583.8,90.19,81.7,94.95,69.96
2025-01-01 22:00:00,M-002,Press,11,21.92,70.0,96.55,2.675,114.63,1605,0,No Failure,0.24,No Downtime,1548,88,1460,398.22,0.0,0.0,0.0,182450.86,2100.21,6050.0,8150.21,98.91,100.85,94.31,94.07
2025-01-02 00:00:00,M-010,CNC Lathe,2,17.96,57.32,83.47,2.013,113.94,1830,1,Hydraulic,10.78,Hydraulic Failure,336,13,323,282.03,7.32,9445.73,0.0,59732.17,103749.42,1322.75,114517.9,39.96,35.96,96.13,13.81
2025-01-02 01:00:00,M-011,Press,7,13.68,84.76,95.91,2.216,107.39,1757,0,No Failure,0.6,No Downtime,961,47,914,253.45,0.0,0.0,0.0,114239.25,5284.81,3231.25,8516.06,95.58,100.36,95.11,91.24
2025-01-02 01:00:00,M-027,Injection Molding,11,15.13,56.96,96.97,2.432,101.77,1437,0,No Failure,0.03,No Downtime,853,29,824,238.9,0.0,0.0,0.0,78244.03,180.84,1515.25,1696.09,99.79,93.92,96.6,90.53
2025-01-02 02:00:00,M-024,Press,13,19.42,79.03,89.27,2.91,110.04,1430,1,Electrical,0.59,No Downtime,1222,45,1177,359.89,2.14,8524.64,0.0,147145.37,5195.81,3093.75,16814.2,96.94,89.93,96.32,83.97
2025-01-02 04:00:00,M-003,CNC Lathe,15,10.54,75.32,97.84,3.098,118.4,1862,1,Electrical,3.01,Electrical Failure,317,14,303,196.99,5.75,12700.43,1.26,56120.68,28985.94,1424.5,43110.87,71.42,57.88,95.59,39.52
2025-01-02 04:00:00,M-007,CNC Mill,8,11.62,85.43,94.7,2.68,104.77,1989,1,Overheating,3.41,Overheating Failure,359,12,347,223.6,8.69,12197.27,0.0,64247.49,32789.09,1221.0,46207.36,70.66,59.48,96.66,40.62
2025-01-02 08:00:00,M-008,Injection Molding,10,17.04,70.25,89.99,2.376,126.84,1678,1,Mechanical,3.96,Mechanical Failure,825,19,806,298.34,11.95,17699.25,0.0,76524.43,22544.44,992.75,41236.44,76.79,80.63,97.7,60.49
2025-01-02 12:00:00,M-019,Press,8,20.8,92.8,97.17,3.221,111.58,1872,0,No Failure,0.19,No Downtime,1275,46,1229,416.1,0.0,0.0,0.0,153594.1,1630.63,3162.5,4793.13,99.1,87.54,96.39,83.62
2025-01-02 13:00:00,M-018,CNC Lathe,15,22.23,69.04,92.71,2.366,115.26,1565,0,No Failure,0.03,No Downtime,1197,42,1155,381.48,0.0,0.0,0.0,213744.14,332.14,4273.5,4605.64,99.84,103.59,96.49,99.8
2025-01-02 14:00:00,M-013,Grinding,15,16.13,89.38,100.69,2.678,126.45,2361,0,No Failure,0.06,No Downtime,651,22,629,319.97,0.0,0.0,0.0,132058.48,600.25,2541.0,3141.25,99.61,89.66,96.62,86.29
2025-01-02 14:00:00,M-013,Press,15,21.24,70.17,83.94,2.379,97.83,1794,1,Electrical,2.92,Electrical Failure,1195,33,1162,369.56,10.24,19442.79,0.0,145246.02,25561.6,2268.75,47273.14,86.25,80.36,97.24,67.39
2025-01-02 15:00:00,M-024,CNC Lathe,13,17.29,86.18,94.37,3.122,134.31,1249,0,No Failure,0.46,No Downtime,781,22,759,332.99,0.0,0.0,0.0,140412.54,4427.01,2238.5,6665.51,97.34,86.87,97.18,82.18
2025-01-02 16:00:00,M-019,CNC Lathe,8,10.87,61.79,89.25,2.059,103.68,1491,0,No Failure,0.65,No Downtime,535,15,520,164.38,0.0,0.0,0.0,96180.68,6211.66,1526.25,7737.91,94.06,94.59,97.2,86.48
2025-01-02 20:00:00,M-023,Grinding,5,16.97,74.16,91.49,2.346,132.06,1707,1,Hydraulic,1.15,Hydraulic Failure,690,28,662,299.95,2.28,6752.55,0.0,139022.81,10869.16,3234.0,20855.7,93.22,90.37,95.94,80.83
2025-01-02 21:00:00,M-012,CNC Mill,12,14.52,96.51,90.67,3.622,125.73,2110,0,No Failure,0.03,No Downtime,729,22,707,308.97,0.0,0.0,0.0,130779.03,272.06,2238.5,2510.56,99.81,96.51,96.98,93.42
2025-01-03 00:00:00,M-017,Grinding,8,20.67,77.61,87.98,2.185,94.98,1995,0,No Failure,0.16,No Downtime,900,23,877,362.77,0.0,0.0,0.0,184086.42,1510.65,2656.5,4167.15,99.23,96.7,97.44,93.5
2025-01-03 01:00:00,M-030,CNC Mill,10,16.9,93.56,87.2,2.389,117.21,1601,0,No Failure,0.84,Quality Issue,758,29,729,,0.0,0.0,0.0,134950.15,8042.67,2950.75,10993.42,95.05,86.32,96.18,78.91
2025-01-03 04:00:00,M-028,CNC Mill,7,11.89,75.13,84.8,2.793,106.87,1326,1,Electrical,2.81,Electrical Failure,454,15,439,220.23,10.8,17255.88,0.0,81279.79,27057.25,1526.25,45839.38,76.34,73.5,96.7,54.26
2025-01-03 05:00:00,M-022,Injection Molding,13,11.0,71.43,93.01,2.444,135.41,1730,1,Electrical,6.91,Electrical Failure,194,7,187,197.35,8.98,15886.58,0.0,17748.96,39412.93,365.75,55665.26,37.15,29.37,96.39,10.51
2025-01-03 06:00:00,M-012,CNC Lathe,12,16.92,80.41,98.5,2.437,119.58,1595,1,Mechanical,4.07,Mechanical Failure,584,24,560,313.05,11.67,20392.26,0.0,103633.31,39131.67,2442.0,61965.93,75.95,66.41,95.89,48.37
2025-01-03 07:00:00,M-028,CNC Mill,7,7.32,84.16,94.54,2.627,94.37,1738,0,No Failure,0.19,No Downtime,389,12,377,140.21,2.89,3167.22,0.0,69775.07,1843.3,1221.0,6231.52,97.38,102.25,96.92,96.5
2025-01-03 07:00:00,M-013,CNC Mill,15,14.93,52.82,89.96,2.434,128.07,1780,1,Overheating,3.1,Overheating Failure,646,24,622,232.69,2.6,5980.17,0.0,115012.19,29837.01,2442.0,38259.18,79.22,83.18,96.28,63.45
2025-01-03 08:00:00,M-025,Grinding,7,17.92,82.81,84.91,2.337,124.01,1880,1,Electrical,2.19,Electrical Failure,675,20,655,324.02,11.13,15216.96,0.0,137461.75,20683.91,2310.0,38210.87,87.79,83.63,97.04,71.24
2025-01-03 10:00:00,M-012,Press,12,12.77,64.84,88.03,2.764,119.71,1755,1,Electrical,5.47,Electrical Failure,485,28,457,220.31,5.77,12140.82,0.0,57145.53,47859.32,1925.0,61925.14,57.17,54.27,94.23,29.24
2025-01-03 12:00:00,M-019,CNC Mill,8,20.98,59.36,99.68,1.996,114.18,1151,0,No Failure,0.63,No Downtime,1024,17,1007,333.94,0.0,0.0,0.0,186242.66,6086.76,1729.75,7816.51,96.98,93.85,98.34,89.51
2025-01-03 12:00:00,M-014,CNC Mill,3,21.76,81.04,76.84,2.12,100.11,1876,0,No Failure,0.24,No Downtime,1025,24,1001,387.44,0.0,0.0,0.0,185212.1,2261.75,2442.0,4703.75,98.92,90.58,97.66,87.51
2025-01-03 12:00:00,M-007,Press,8,12.93,94.74,85.0,2.252,138.19,1929,1,Mechanical,6.85,Mechanical Failure,373,12,361,260.44,3.94,6064.49,0.0,45139.29,59970.54,825.0,66860.02,47.01,41.21,96.78,18.75
2025-01-03 14:00:00,M-013,CNC Lathe,15,15.81,82.53,,2.176,114.5,1624,1,Tool Wear,10.86,Tool Wear Failure,230,7,223,303.65,10.49,17613.98,0.0,41179.65,104491.95,712.25,122818.18,31.29,27.93,96.95,8.47
2025-01-03 16:00:00,M-006,CNC Lathe,4,20.98,55.02,84.55,2.073,130.53,1380,1,Mechanical,6.2,Mechanical Failure,692,25,667,330.94,11.41,16819.05,0.0,123364.08,59665.91,2543.75,79028.72,70.44,63.42,96.39,43.06
2025-01-03 16:00:00,M-024,CNC Mill,13,16.99,69.11,95.79,2.232,115.54,1959,1,Electrical,17.51,Electrical Failure,0,0,0,296.26,10.61,17455.3,0.0,0.0,168402.45,0.0,185857.75,0.0,0.0,0.0,0.0
2025-01-03 17:00:00,M-019,Press,8,11.42,70.14,88.56,2.409,113.24,1715,1,Tool Wear,8.67,Tool Wear Failure,191,6,185,197.15,10.03,16715.57,0.0,23186.14,75829.44,412.5,92957.51,24.13,23.95,96.87,5.6
2025-01-03 18:00:00,M-019,CNC Mill,8,16.43,78.75,79.61,3.292,96.07,1553,0,No Failure,0.26,No Downtime,852,27,825,292.4,0.0,0.0,0.0,152572.46,2481.39,2747.25,5228.64,98.43,99.71,96.83,95.03
2025-01-03 18:00:00,M-004,Press,2,13.59,71.99,81.12,2.359,107.31,1832,0,No Failure,0.07,No Downtime,910,32,878,235.68,0.0,0.0,0.0,109790.66,597.85,2200.0,2797.85,99.5,95.7,96.48,91.88
2025-01-03 18:00:00,M-019,Injection Molding,8,21.43,82.93,79.05,2.703,133.31,2114,1,Mechanical,4.18,Mechanical Failure,990,22,968,396.18,2.97,7705.52,0.0,91969.61,23815.36,1149.5,32670.38,80.51,76.99,97.78,60.61
2025-01-03 19:00:00,M-009,Grinding,15,19.42,93.5,99.94,3.381,127.68,1647,1,Mechanical,4.56,Mechanical Failure,641,25,616,386.72,10.52,15988.47,0.0,129320.94,43082.66,2887.5,61958.62,76.53,73.31,96.1,53.92
2025-01-03 19:00:00,M-016,Injection Molding,15,15.74,84.33,98.29,3.823,123.95,1722,1,Hydraulic,4.36,Hydraulic Failure,579,33,546,295.26,5.02,9634.8,0.0,51884.37,24846.69,1724.25,36205.74,72.31,61.31,94.3,41.81
2025-01-03 21:00:00,M-027,CNC Mill,11,17.57,90.07,92.86,2.311,125.61,1702,1,Hydraulic,6.21,Hydraulic Failure,620,17,603,339.73,10.58,14790.66,0.0,111539.46,59786.56,1729.75,76306.97,64.63,67.86,97.26,42.65
2025-01-03 23:00:00,M-004,Injection Molding,2,11.77,69.22,74.73,2.098,115.42,1425,0,No Failure,0.26,No Downtime,725,16,709,199.75,0.0,0.0,1.59,67368.88,1466.37,836.0,2302.37,97.81,102.7,97.79,98.24
2025-01-03 23:00:00,M-006,Grinding,4,13.98,100.0,85.29,3.316,114.36,1771,0,No Failure,0.18,No Downtime,571,28,543,285.29,0.0,0.0,0.0,113927.12,1656.69,3234.0,4890.69,98.75,90.65,95.09,85.13
2025-01-03 23:00:00,M-008,Press,10,23.21,84.74,81.9,2.933,108.12,2287,0,No Failure,0.15,No Downtime,1514,44,1470,436.76,0.0,0.0,0.0,183696.84,1289.59,3025.0,4314.59,99.37,93.15,97.09,89.87
2025-01-04 00:00:00,M-027,CNC Mill,11,17.21,87.08,92.65,3.339,112.57,1266,0,No Failure,0.57,No Downtime,796,24,772,325.83,0.0,0.0,0.0,142777.27,5491.01,2442.0,7933.01,96.68,88.9,96.98,83.36
2025-01-04 01:00:00,M-029,CNC Lathe,8,20.72,100.0,112.41,2.781,121.7,1730,0,No Failure,0.13,No Downtime,1018,38,980,436.8,0.0,0.0,0.0,181288.32,1266.84,3866.5,5133.34,99.36,94.48,96.27,90.37
2025-01-04 02:00:00,M-024,Grinding,13,17.93,79.73,92.33,2.448,107.71,2040,0,No Failure,0.45,No Downtime,765,29,736,329.13,3.11,4055.47,0.0,154646.36,4205.63,3349.5,11610.6,97.52,94.87,96.21,89.01
2025-01-04 02:00:00,M-016,CNC Lathe,15,22.26,70.46,89.98,3.487,115.77,1450,0,No Failure,1.02,Planned Maintenance,984,31,953,373.29,0.0,0.0,0.0,176355.89,9789.48,3154.25,12943.73,95.43,85.04,96.85,78.6
2025-01-04 03:00:00,M-005,CNC Lathe,11,9.0,95.79,96.18,3.101,120.32,1856,0,No Failure,0.65,No Downtime,401,22,379,180.83,0.0,0.0,0.0,70171.89,6239.6,2238.5,8478.1,92.8,85.71,94.52,75.17
2025-01-04 03:00:00,M-021,Press,8,16.25,95.11,85.42,3.201,117.08,2063,0,No Failure,1.2,Quality Issue,1012,39,973,325.0,0.0,0.0,0.0,121684.26,10487.06,2681.25,13168.31,92.62,89.02,96.15,79.28
2025-01-04 04:00:00,M-022,Grinding,13,23.58,80.65,86.45,3.213,97.37,1346,1,Mechanical,4.97,Mechanical Failure,752,30,722,442.4,4.96,9506.03,0.0,151577.98,46919.75,3465.0,59890.78,78.94,70.85,96.01,53.7
2025-01-04 05:00:00,M-010,CNC Mill,2,20.82,97.63,84.37,3.105,107.03,2264,0,No Failure,0.04,No Downtime,1053,45,1008,417.27,0.0,0.0,0.0,186570.05,362.06,4578.75,4940.81,99.82,97.29,95.73,92.96
2025-01-04 06:00:00,M-023,Injection Molding,5,22.3,73.33,90.44,2.473,114.06,1763,0,No Failure,0.27,No Downtime,1264,35,1229,406.82,1.31,1342.49,0.0,116787.63,1521.5,1828.75,4692.74,98.8,94.49,97.23,90.77
2025-01-04 06:00:00,M-013,Grinding,15,16.97,92.55,99.36,3.334,93.25,1669,1,Electrical,7.02,Electrical Failure,392,17,375,332.09,9.96,17502.5,0.0,78842.08,66340.11,1963.5,85806.12,58.64,51.38,95.67,28.82
2025-01-04 08:00:00,M-029,Press,8,14.85,97.22,91.83,3.124,131.89,1342,1,Hydraulic,6.12,Hydraulic Failure,610,16,594,296.33,4.89,10275.59,0.0,74195.35,53593.09,1100.0,64968.68,58.76,58.63,97.38,33.55
2025-01-04 08:00:00,M-026,Press,12,12.89,79.38,96.56,2.604,132.5,1603,0,No Failure,1.07,Setup/Changeover,570,21,549,238.95,0.0,0.0,0.0,68579.16,9366.0,1443.75,10809.75,91.7,63.12,96.31,55.75
2025-01-04 09:00:00,M-014,Press,3,12.61,79.9,95.23,2.756,127.21,1275,0,No Failure,0.81,Setup/Changeover,769,21,748,237.12,0.0,0.0,0.0,93471.9,7054.8,1443.75,8498.55,93.61,87.08,97.27,79.28
2025-01-04 10:00:00,M-007,Grinding,8,20.23,90.36,95.7,2.627,121.94,1168,0,No Failure,0.98,Material Shortage,910,18,892,405.0,0.0,0.0,0.0,187245.93,9227.43,2079.0,11306.43,95.17,99.93,98.02,93.23
2025-01-04 14:00:00,M-029,Injection Molding,8,19.05,70.87,80.88,2.863,100.84,1849,1,Hydraulic,4.07,Hydraulic Failure,849,28,821,330.45,3.37,7068.41,1.01,77955.33,23183.86,1463.0,31715.27,78.65,74.23,96.7,56.46
2025-01-04 15:00:00,M-020,Grinding,11,16.73,66.1,77.04,2.818,118.6,1833,1,Mechanical,7.33,Mechanical Failure,441,14,427,276.74,3.26,8919.98,0.0,89724.11,69280.38,1617.0,79817.36,56.19,58.6,96.83,31.88
2025-01-04 17:00:00,M-006,CNC Lathe,4,19.03,92.66,78.12,1.896,135.76,1295,0,No Failure,1.63,Material Shortage,724,24,700,370.02,0.0,0.0,0.0,129538.07,15646.45,2442.0,18088.45,91.45,73.17,96.69,64.7
2025-01-04 17:00:00,M-007,CNC Mill,8,17.57,80.29,94.28,2.928,103.45,1857,1,Hydraulic,3.54,Hydraulic Failure,766,25,741,324.81,3.59,6473.87,0.0,137052.51,34090.58,2543.75,43108.21,79.83,83.82,96.74,64.73
2025-01-04 18:00:00,M-005,CNC Lathe,11,20.85,70.42,84.75,2.699,146.21,1407,0,No Failure,0.37,No Downtime,982,32,950,361.21,0.0,0.0,0.0,175734.01,3575.44,3256.0,6831.44,98.22,90.57,96.74,86.06
2025-01-04 19:00:00,M-021,Press,8,20.81,77.32,93.32,3.059,126.41,1843,0,No Failure,0.03,No Downtime,1348,41,1307,383.25,0.0,0.0,0.0,163361.2,288.73,2818.75,3107.48,99.84,92.53,96.96,89.57
2025-01-04 21:00:00,M-018,Grinding,15,12.74,86.62,93.33,3.716,105.27,1949,1,Overheating,2.03,Overheating Failure,375,11,364,255.12,9.7,17062.93,0.0,76475.01,19207.82,1270.5,37541.25,84.04,65.46,97.07,53.4
2025-01-04 22:00:00,M-023,CNC Mill,5,18.09,52.53,82.88,2.034,100.76,1164,1,Overheating,4.58,Overheating Failure,611,23,588,288.63,6.36,8824.39,0.0,108689.47,44034.53,2340.25,55199.17,74.7,64.88,96.23,46.64
2025-01-05 00:00:00,M-012,CNC Lathe,12,10.32,88.02,98.17,3.109,112.14,1787,0,No Failure,0.12,No Downtime,481,24,457,202.35,0.0,0.0,0.0,84535.8,1176.51,2442.0,3618.51,98.82,89.58,95.01,84.1
2025-01-05 01:00:00,M-006,CNC Lathe,4,17.53,79.72,81.04,1.986,116.31,1988,1,Electrical,5.92,Electrical Failure,501,14,487,313.48,7.56,9046.23,0.0,90028.33,56953.19,1424.5,67423.92,66.23,54.91,97.2,35.35
2025-01-05 02:00:00,M-027,CNC Mill,11,19.42,100.0,100.74,3.091,115.48,1452,0,No Failure,2.05,Quality Issue,861,40,821,402.21,0.0,0.0,0.0,151808.83,19674.93,4070.0,23744.93,89.47,85.23,95.35,72.71
2025-01-05 02:00:00,M-001,CNC Lathe,10,11.75,73.93,85.31,3.21,82.48,1693,0,No Failure,0.18,No Downtime,588,17,571,203.77,0.0,0.0,0.93,105678.79,1732.99,1729.75,3462.74,98.47,96.31,97.11,92.1
2025-01-05 04:00:00,M-004,CNC Mill,2,15.33,92.28,82.69,2.561,103.21,2039,1,Overheating,13.79,Overheating Failure,72,2,70,296.77,11.41,12349.81,0.0,13022.29,132655.47,203.5,145208.79,10.07,9.08,97.24,0.89
2025-01-05 08:00:00,M-019,Injection Molding,8,17.04,75.37,92.91,2.881,116.22,1685,1,Mechanical,8.86,Mechanical Failure,411,10,401,313.47,6.79,10730.84,0.0,38130.6,50517.19,522.5,61770.53,47.98,40.24,97.57,18.84
2025-01-05 08:00:00,M-012,CNC Mill,12,17.94,79.95,95.98,2.831,119.27,2107,1,Hydraulic,7.64,Hydraulic Failure,489,24,465,324.37,10.86,18757.96,0.0,85985.29,73473.11,2442.0,94673.07,57.42,52.41,95.09,28.61
2025-01-05 09:00:00,M-015,Press,6,15.89,78.93,89.93,2.48,127.67,2225,1,Mechanical,15.11,Mechanical Failure,54,0,54,293.44,4.37,8292.38,0.0,6754.32,132171.36,0.0,140463.74,4.91,4.86,100.0,0.24
2025-01-05 09:00:00,M-003,Press,15,12.31,100.0,92.38,3.551,112.01,2210,1,Tool Wear,8.18,Tool Wear Failure,249,8,241,255.63,4.46,12002.13,0.0,30134.81,71569.13,550.0,84121.26,33.56,28.9,96.79,9.39
2025-01-05 09:00:00,M-023,Injection Molding,5,16.78,57.15,79.27,1.059,115.37,1638,0,No Failure,0.58,No Downtime,939,30,909,260.91,0.0,0.0,2.18,86367.79,3299.78,1567.5,4867.28,96.55,93.26,96.81,87.16
2025-01-05 09:00:00,M-027,CNC Lathe,11,10.39,84.43,96.51,3.0,117.78,1477,0,No Failure,0.02,No Downtime,557,29,528,195.97,0.0,0.0,0.0,97638.09,167.36,2950.75,3118.11,99.83,103.04,94.79,97.51
2025-01-05 11:00:00,M-028,Grinding,7,16.07,76.09,101.04,1.732,106.37,1981,1,Overheating,4.76,Overheating Failure,484,16,468,289.11,9.78,16669.05,0.0,98207.57,44973.24,1848.0,63490.29,70.38,66.88,96.69,45.52
2025-01-05 12:00:00,M-026,Injection Molding,12,15.23,77.6,102.54,2.768,124.09,1754,1,Hydraulic,0.94,Hydraulic Failure,890,36,854,271.49,11.67,16964.79,0.0,81113.33,5384.92,1881.0,24230.72,93.8,97.35,95.95,87.62
2025-01-05 13:00:00,M-020,CNC Mill,11,16.46,85.66,89.84,2.6,123.63,1766,1,Electrical,1.55,Electrical Failure,706,27,679,319.37,9.38,16437.63,0.0,125541.73,14948.03,2747.25,34132.92,90.56,82.42,96.17,71.79
2025-01-05 16:00:00,M-028,CNC Lathe,7,14.76,90.98,86.66,2.383,146.46,2376,0,No Failure,0.78,Setup/Changeover,656,17,639,303.94,0.0,0.0,0.0,118205.76,7510.65,1729.75,9240.4,94.71,85.45,97.41,78.83
2025-01-05 19:00:00,M-008,CNC Lathe,10,10.97,84.44,101.96,3.337,130.48,1749,0,No Failure,0.26,No Downtime,537,9,528,207.91,0.0,0.0,0.0,97716.47,2478.08,915.75,3393.83,97.65,94.18,98.32,90.43
